 Run No.   Original ID Tr     Solution     Inbr %                                                                        
      61         10061  1    0.319761       0.000    
      62         10062  1   -0.454121       0.000    
      63         10063  1    -1.59296       0.000    
      64         10064  1    0.436304       0.000    
      65         10065  1    0.610361       0.000    
      66         10066  1    0.254342       0.000    
      67         10067  1   -0.868502       0.000    
      68         10068  1   -0.325028       0.000    
      69         10069  1    0.155372       0.000    
      70         10070  1    0.900917       0.000    
      71         10071  1    -1.35937       0.000    
      72         10072  1   -0.939360       0.000    
      73         10073  1   -0.853069       0.000    
      74         10074  1   -0.184916       0.000    
      75         10075  1     1.33996       0.000    
      76         10076  1   -0.585910       0.000    
      77         10077  1    -1.57054       0.000    
      78         10078  1    0.951594       0.000    
      79         10079  1   -0.167878       0.000    
      80         10080  1    0.587344       0.000    
      81         10081  1   -0.380302       0.000    
      82         10082  1   -0.326546       0.000    
      83         10083  1    0.110161       0.000    
      84         10084  1    0.378156       0.000    
      85         10085  1   -0.905053       0.000    
      86         10086  1    0.728393       0.000    
      87         10087  1   -0.181376       0.000    
      88         10088  1   -0.623200       0.000    
      89         10089  1   -0.515025       0.000    
      90         10090  1   -0.118838       0.000    
      91         10091  1   -0.206366       0.000    
      92         10092  1   -0.620820       0.000    
      93         10093  1   -0.879547       0.000    
      94         10094  1    0.886767E-01   0.000    
      95         10095  1   -0.415987       0.000    
      96         10096  1   -0.402019       0.000    
      97         10097  1    0.773690       0.000    
      98         10098  1   -0.274826       0.000    
      99         10099  1   -0.144741       0.000    
     100         10100  1    0.452684       0.000    
     101         10101  1   -0.747510E-01   0.000    
     102         10102  1    0.687033       0.000    
     103         10103  1    0.667543       0.000    
     104         10104  1    0.814611E-01   0.000    
     105         10105  1    0.743983       0.000    
     106         10106  1   -0.402271       0.000    
     107         10107  1    0.176214       0.000    
     108         10108  1   -0.801610E-01   0.000    
     109         10109  1   -0.572896       0.000    
     110         10110  1   -0.543893       0.000    
     111         10111  1   -0.631275       0.000    
     112         10112  1    0.220686       0.000    
     113         10113  1   -0.197144       0.000    
     114         10114  1   -0.431794       0.000    
     115         10115  1    0.325979       0.000    
     116         10116  1    0.785440       0.000    
     117         10117  1    -1.74154       0.000    
     118         10118  1    0.263841       0.000    
     119         10119  1     1.19144       0.000    
     120         10120  1   -0.319866E-01   0.000    
     121         10121  1   -0.120889       0.000    
     122         10122  1    0.176407       0.000    
     123         10123  1   -0.303403       0.000    
     124         10124  1   -0.930757       0.000    
     125         10125  1     1.67165       0.000    
     126         10126  1   -0.190324       0.000    
     127         10127  1   -0.887762       0.000    
     128         10128  1    -1.69971       0.000    
     129         10129  1   -0.269724       0.000    
     130         10130  1   -0.226677       0.000    
     131         10131  1    0.998020       0.000    
     132         10132  1    -1.48151       0.000    
     133         10133  1    0.189698       0.000    
     134         10134  1   -0.442971E-02   0.000    
     135         10135  1    0.410583       0.000    
     136         10136  1     1.06522       0.000    
     137         10137  1    0.449553       0.000    
     138         10138  1    0.158377       0.000    
     139         10139  1   -0.610256E-01   0.000    
     140         10140  1    0.102947       0.000    
     141         10141  1    -1.20547       0.000    
     142         10142  1   -0.876020       0.000    
     143         10143  1    0.295470       0.000    
     144         10144  1   -0.967701       0.000    
     145         10145  1   -0.109500       0.000    
     146         10146  1   -0.647446       0.000    
     147         10147  1   -0.860688E-01   0.000    
     148         10148  1    0.796632E-01   0.000    
     149         10149  1   -0.880347       0.000    
     150         10150  1    -1.53222       0.000    
     151         10151  1   -0.526514       0.000    
     152         10152  1   -0.326718       0.000    
     153         10153  1    0.362507       0.000    
     154         10154  1   -0.139631E-01   0.000    
     155         10155  1   -0.297272       0.000    
     156         10156  1     1.59609       0.000    
     157         10157  1   -0.585565       0.000    
     158         10158  1    0.187516E-01   0.000    
     159         10159  1    -1.05478       0.000    
     160         10160  1   -0.377019       0.000    
     161         10161  1   -0.103720E-02   0.000    
     162         10162  1    0.280519       0.000    
     163         10163  1    0.212595       0.000    
     164         10164  1   -0.587175       0.000    
     165         10165  1    0.985127       0.000    
     166         10166  1   -0.372428       0.000    
     167         10167  1   -0.991707       0.000    
     168         10168  1   -0.173663       0.000    
     169         10169  1   -0.137602       0.000    
     170         10170  1    0.708040       0.000    
     171         10171  1    0.370910       0.000    
     172         10172  1   -0.707705       0.000    
     173         10173  1   -0.264580       0.000    
     174         10174  1   -0.656311       0.000    
     175         10175  1   -0.231081E-01   0.000    
     176         10176  1   -0.780038       0.000    
     177         10177  1    0.710217E-01   0.000    
     178         10178  1    -1.11622       0.000    
     179         10179  1    0.349675       0.000    
     180         10180  1     1.21284       0.000    
     181         10181  1    0.404363       0.000    
     182         10182  1   -0.576046       0.000    
     183         10183  1   -0.779612       0.000    
     184         10184  1    -1.38057       0.000    
     185         10185  1    0.752902       0.000    
     186         10186  1    0.524070       0.000    
     187         10187  1    0.537691E-01   0.000    
     188         10188  1   -0.386764       0.000    
     189         10189  1    0.268040       0.000    
     190         10190  1   -0.327170       0.000    
     191         10191  1   -0.745711       0.000    
     192         10192  1    0.823199E-01   0.000    
     193         10193  1    0.473725       0.000    
     194         10194  1   -0.672765       0.000    
     195         10195  1   -0.508252       0.000    
     196         10196  1    -1.11577       0.000    
     197         10197  1   -0.545413       0.000    
     198         10198  1   -0.170100       0.000    
     199         10199  1   -0.434070       0.000    
     200         10200  1    0.169664       0.000    
     201         10201  1    -1.91989       0.000    
     202         10202  1    0.538462       0.000    
     203         10203  1     1.05798       0.000    
     204         10204  1   -0.302783E-02   0.000    
     205         10205  1     1.53049       0.000    
     206         10206  1   -0.141739       0.000    
     207         10207  1    0.834739       0.000    
     208         10208  1    0.309739       0.000    
     209         10209  1     1.38750       0.000    
     210         10210  1   -0.526598       0.000    
     211         10211  1    0.898824E-01   0.000    
     212         10212  1    0.797018       0.000    
     213         10213  1   -0.967138       0.000    
     214         10214  1    0.695672       0.000    
     215         10215  1   -0.743912       0.000    
     216         10216  1    0.810942       0.000    
     217         10217  1    0.801100       0.000    
     218         10218  1    0.221071       0.000    
     219         10219  1   -0.737912       0.000    
     220         10220  1    0.198852       0.000    
     221         10221  1    0.501875E-01   0.000    
     222         10222  1    0.412320       0.000    
     223         10223  1   -0.104879       0.000    
     224         10224  1    0.148750       0.000    
     225         10225  1    0.829852       0.000    
     226         10226  1    0.427131       0.000    
     227         10227  1   -0.529340       0.000    
     228         10228  1   -0.279413       0.000    
     229         10229  1    0.487389       0.000    
     230         10230  1   -0.567960       0.000    
     231         10231  1    0.174636       0.000    
     232         10232  1   -0.993832       0.000    
     233         10233  1    0.698064       0.000    
     234         10234  1    0.638000       0.000    
     235         10235  1    0.726115       0.000    
     236         10236  1   -0.866337       0.000    
     237         10237  1    0.911964E-01   0.000    
     238         10238  1    0.631857       0.000    
     239         10239  1    0.513813       0.000    
     240         10240  1    0.302639       0.000    
     241         10241  1    0.230960       0.000    
     242         10242  1   -0.291999       0.000    
     243         10243  1    0.491033E-01   0.000    
     244         10244  1    0.375221       0.000    
     245         10245  1   -0.239781       0.000    
     246         10246  1    0.755246       0.000    
     247         10247  1    0.253932       0.000    
     248         10248  1   -0.823182       0.000    
     249         10249  1     1.02447       0.000    
     250         10250  1   -0.982598       0.000    
     251         10251  1   -0.195610       0.000    
     252         10252  1   -0.151195E-01   0.000    
     253         10253  1   -0.382614E-01   0.000    
     254         10254  1   -0.293656       0.000    
     255         10255  1    0.450653       0.000    
     256         10256  1    0.687558       0.000    
     257         10257  1   -0.888057       0.000    
     258         10258  1     1.29023       0.000    
     259         10259  1   -0.162969       0.000    
     260         10260  1    -1.25767       0.000    
     261         10261  1   -0.309966E-01   0.000    
     262         10262  1    0.268950       0.000    
     263         10263  1     1.45264       0.000    
     264         10264  1    0.722127       0.000    
     265         10265  1    -1.17491       0.000    
     266         10266  1   -0.426802       0.000    
     267         10267  1    0.239955E-01   0.000    
     268         10268  1    0.281001       0.000    
     269         10269  1     1.37114       0.000    
     270         10270  1   -0.384762       0.000    
     271         10271  1    0.498084       0.000    
     272         10272  1     1.42239       0.000    
     273         10273  1    -1.41633       0.000    
     274         10274  1    0.373165       0.000    
     275         10275  1   -0.690481       0.000    
     276         10276  1   -0.108931       0.000    
     277         10277  1    0.152483       0.000    
     278         10278  1    0.557605       0.000    
     279         10279  1    0.875118       0.000    
     280         10280  1    0.207412       0.000    
     281         10281  1   -0.399041       0.000    
     282         10282  1    0.296991       0.000    
     283         10283  1    0.797869       0.000    
     284         10284  1   -0.899465       0.000    
     285         10285  1   -0.863393       0.000    
     286         10286  1    0.647679       0.000    
     287         10287  1    0.824423       0.000    
     288         10288  1    0.394595       0.000    
     289         10289  1    -1.20146       0.000    
     290         10290  1    0.199893       0.000    
     291         10291  1   -0.436886E-01   0.000    
     292         10292  1    0.618862       0.000    
     293         10293  1     2.23803       0.000    
     294         10294  1   -0.331144       0.000    
     295         10295  1   -0.294443       0.000    
     296         10296  1    0.955174E-01   0.000    
     297         10297  1    0.215417       0.000    
     298         10298  1    0.107713       0.000    
     299         10299  1   -0.588946       0.000    
     300         10300  1    0.744574       0.000    
     301         10301  1    0.867645       0.000    
     302         10302  1    0.376710       0.000    
     303         10303  1    0.196064       0.000    
     304         10304  1    0.195264       0.000    
     305         10305  1    0.612996E-01   0.000    
     306         10306  1    0.579882       0.000    
     307         10307  1    0.619436       0.000    
     308         10308  1     1.57582       0.000    
     309         10309  1   -0.974665E-01   0.000    
     310         10310  1    -1.07608       0.000    
     311         10311  1   -0.143416       0.000    
     312         10312  1   -0.304780       0.000    
     313         10313  1   -0.328583       0.000    
     314         10314  1    0.553001       0.000    
     315         10315  1   -0.267373       0.000    
     316         10316  1   -0.478487       0.000    
     317         10317  1    0.331741       0.000    
     318         10318  1   -0.256839       0.000    
     319         10319  1    0.680401       0.000    
     320         10320  1   -0.275143       0.000    
     321         10321  1    -1.34172       0.000    
     322         10322  1   -0.687740       0.000    
     323         10323  1   -0.222143       0.000    
     324         10324  1   -0.393799       0.000    
     325         10325  1    0.186871       0.000    
     326         10326  1   -0.804062       0.000    
     327         10327  1   -0.307875       0.000    
     328         10328  1    0.430455       0.000    
     329         10329  1    0.897749E-01   0.000    
     330         10330  1   -0.752063       0.000    
     331         10331  1   -0.430831       0.000    
     332         10332  1    0.211901       0.000    
     333         10333  1    0.722004       0.000    
     334         10334  1   -0.743083       0.000    
     335         10335  1   -0.879966       0.000    
     336         10336  1   -0.461035E-01   0.000    
     337         10337  1    0.148321       0.000    
     338         10338  1   -0.581349E-02   0.000    
     339         10339  1   -0.133905       0.000    
     340         10340  1   -0.341467       0.000    
     341         10341  1   -0.633021       0.000    
     342         10342  1   -0.682041E-01   0.000    
     343         10343  1   -0.437380       0.000    
     344         10344  1    0.420016       0.000    
     345         10345  1     1.29153       0.000    
     346         10346  1   -0.347638E-01   0.000    
     347         10347  1    -1.40413       0.000    
     348         10348  1    0.906386       0.000    
     349         10349  1    0.424286E-01   0.000    
     350         10350  1   -0.706687       0.000    
     351         10351  1    0.771740       0.000    
     352         10352  1   -0.315746       0.000    
     353         10353  1    -1.54804       0.000    
     354         10354  1    0.103786       0.000    
     355         10355  1   -0.963842       0.000    
     356         10356  1    0.107877       0.000    
     357         10357  1     1.00782       0.000    
     358         10358  1   -0.926315       0.000    
     359         10359  1   -0.647796E-01   0.000    
     360         10360  1    -1.90113       0.000    
     361         10361  1   -0.799353       0.000    
     362         10362  1    0.786641       0.000    
     363         10363  1   -0.928642       0.000    
     364         10364  1   -0.369354       0.000    
     365         10365  1   -0.330646       0.000    
     366         10366  1     1.05242       0.000    
     367         10367  1    -1.27450       0.000    
     368         10368  1   -0.522297       0.000    
     369         10369  1    0.271391       0.000    
     370         10370  1    0.299727       0.000    
     371         10371  1   -0.431065       0.000    
     372         10372  1     1.46936       0.000    
     373         10373  1    -1.35958       0.000    
     374         10374  1    -1.05405       0.000    
     375         10375  1    0.619576       0.000    
     376         10376  1   -0.639460       0.000    
     377         10377  1    0.302021E-01   0.000    
     378         10378  1   -0.172632       0.000    
     379         10379  1     1.04568       0.000    
     380         10380  1   -0.379634       0.000    
     381         10381  1    0.648673       0.000    
     382         10382  1   -0.389465       0.000    
     383         10383  1   -0.784404       0.000    
     384         10384  1     1.10361       0.000    
     385         10385  1   -0.285733       0.000    
     386         10386  1    -1.63608       0.000    
     387         10387  1   -0.240732       0.000    
     388         10388  1    -1.98210       0.000    
     389         10389  1    0.105650       0.000    
     390         10390  1    0.670763       0.000    
     391         10391  1     1.03753       0.000    
     392         10392  1     1.07553       0.000    
     393         10393  1   -0.444637       0.000    
     394         10394  1     1.03413       0.000    
     395         10395  1    0.363671       0.000    
     396         10396  1    0.604917       0.000    
     397         10397  1   -0.170593       0.000    
     398         10398  1   -0.880993       0.000    
     399         10399  1   -0.926996E-01   0.000    
     400         10400  1    0.516996       0.000    
     401         10401  1   -0.410290       0.000    
     402         10402  1   -0.594420       0.000    
     403         10403  1    0.399419       0.000    
     404         10404  1   -0.800303       0.000    
     405         10405  1   -0.796051       0.000    
     406         10406  1   -0.376698       0.000    
     407         10407  1   -0.146294       0.000    
     408         10408  1    0.812049       0.000    
     409         10409  1     1.00824       0.000    
     410         10410  1    0.302526       0.000    
     411         10411  1    0.632133       0.000    
     412         10412  1     1.22205       0.000    
     413         10413  1    0.225018       0.000    
     414         10414  1   -0.395969       0.000    
     415         10415  1    0.253266E-01   0.000    
     416         10416  1    0.391054       0.000    
     417         10417  1    0.505935E-01   0.000    
     418         10418  1   -0.224011       0.000    
     419         10419  1    0.391901       0.000    
     420         10420  1   -0.416551E-01   0.000    
     421         10421  1    0.463939       0.000    
     422         10422  1   -0.891846       0.000    
     423         10423  1    -1.70230       0.000    
     424         10424  1    0.600032       0.000    
     425         10425  1    0.574340       0.000    
     426         10426  1   -0.251957       0.000    
     427         10427  1   -0.530050       0.000    
     428         10428  1   -0.577144       0.000    
     429         10429  1     1.46620       0.000    
     430         10430  1    0.296622       0.000    
     431         10431  1   -0.127918       0.000    
     432         10432  1    0.299674       0.000    
     433         10433  1    0.137978       0.000    
     434         10434  1    0.846716       0.000    
     435         10435  1    0.512765       0.000    
     436         10436  1    0.424797       0.000    
     437         10437  1   -0.773861       0.000    
     438         10438  1    0.718397       0.000    
     439         10439  1     1.68768       0.000    
     440         10440  1    0.867279       0.000    
     441         10441  1    0.746611       0.000    
     442         10442  1   -0.378039       0.000    
     443         10443  1    0.520221       0.000    
     444         10444  1   -0.150172       0.000    
     445         10445  1   -0.620504       0.000    
     446         10446  1    -1.20680       0.000    
     447         10447  1   -0.784564       0.000    
     448         10448  1   -0.448689       0.000    
     449         10449  1     1.16952       0.000    
     450         10450  1    0.371226E-01   0.000    
     451         10451  1   -0.604337       0.000    
     452         10452  1   -0.273185       0.000    
     453         10453  1    0.775214E-01   0.000    
     454         10454  1   -0.511768       0.000    
     455         10455  1    0.373467E-01   0.000    
     456         10456  1    0.357632       0.000    
     457         10457  1    0.138569       0.000    
     458         10458  1    0.228853       0.000    
     459         10459  1   -0.338925E-01   0.000    
     460         10460  1   -0.938268       0.000    
     461         10461  1   -0.686210       0.000    
     462         10462  1   -0.246541       0.000    
     463         10463  1   -0.512888       0.000    
     464         10464  1    -1.03054       0.000    
     465         10465  1   -0.296166       0.000    
     466         10466  1     1.21699       0.000    
     467         10467  1     1.51259       0.000    
     468         10468  1   -0.170948       0.000    
     469         10469  1   -0.152052       0.000    
     470         10470  1   -0.337566       0.000    
     471         10471  1    0.893827       0.000    
     472         10472  1    0.425514E-01   0.000    
     473         10473  1    0.293071       0.000    
     474         10474  1   -0.606025       0.000    
     475         10475  1    -1.15640       0.000    
     476         10476  1    0.358411       0.000    
     477         10477  1    0.499766       0.000    
     478         10478  1   -0.208334       0.000    
     479         10479  1   -0.600146       0.000    
     480         10480  1   -0.743054       0.000    
     481         10481  1   -0.185643       0.000    
     482         10482  1    0.164465       0.000    
     483         10483  1   -0.275382       0.000    
     484         10484  1   -0.781678E-02   0.000    
     485         10485  1    -1.20981       0.000    
     486         10486  1    0.588381       0.000    
     487         10487  1   -0.338810       0.000    
     488         10488  1   -0.274239E-01   0.000    
     489         10489  1   -0.563798E-01   0.000    
     490         10490  1    -1.30963       0.000    
     491         10491  1    -1.26193       0.000    
     492         10492  1   -0.567997       0.000    
     493         10493  1   -0.681260       0.000    
     494         10494  1   -0.345472       0.000    
     495         10495  1     1.65436       0.000    
     496         10496  1     1.50853       0.000    
     497         10497  1    0.401520       0.000    
     498         10498  1   -0.474690       0.000    
     499         10499  1     1.18297       0.000    
     500         10500  1   -0.210836       0.000    
     501         10501  1   -0.622972       0.000    
     502         10502  1    0.522482E-01   0.000    
     503         10503  1    0.524555       0.000    
     504         10504  1    0.359097       0.000    
     505         10505  1   -0.335514       0.000    
     506         10506  1   -0.229837       0.000    
     507         10507  1    -1.03703       0.000    
     508         10508  1    0.717487       0.000    
     509         10509  1    0.666531       0.000    
     510         10510  1    0.191442       0.000    
     511         10511  1    0.818288E-01   0.000    
     512         10512  1    -1.00767       0.000    
     513         10513  1    0.666688       0.000    
     514         10514  1    0.823514       0.000    
     515         10515  1    0.148393       0.000    
     516         10516  1   -0.529886       0.000    
     517         10517  1   -0.553904E-01   0.000    
     518         10518  1   -0.247380       0.000    
     519         10519  1    0.818171E-03   0.000    
     520         10520  1   -0.175008       0.000    
     521         10521  1    0.665564       0.000    
     522         10522  1     1.88179       0.000    
     523         10523  1   -0.158164       0.000    
     524         10524  1    0.216702       0.000    
     525         10525  1    0.153586       0.000    
     526         10526  1    -2.40056       0.000    
     527         10527  1    -1.45514       0.000    
     528         10528  1    -1.70141       0.000    
     529         10529  1   -0.619309       0.000    
     530         10530  1   -0.588246       0.000    
     531         10531  1   -0.955238       0.000    
     532         10532  1   -0.765773       0.000    
     533         10533  1   -0.266670       0.000    
     534         10534  1    0.357425E-01   0.000    
     535         10535  1    0.478973       0.000    
     536         10536  1   -0.448455       0.000    
     537         10537  1   -0.445334       0.000    
     538         10538  1    0.153383       0.000    
     539         10539  1   -0.102848       0.000    
     540         10540  1   -0.244008       0.000    
     541         10541  1    0.819006       0.000    
     542         10542  1    -1.16830       0.000    
     543         10543  1    0.947899       0.000    
     544         10544  1    0.741003       0.000    
     545         10545  1    0.240011       0.000    
     546         10546  1   -0.886846E-01   0.000    
     547         10547  1   -0.901174       0.000    
     548         10548  1    0.333498       0.000    
     549         10549  1   -0.217763       0.000    
     550         10550  1   -0.237185       0.000    
     551         10551  1    0.767842       0.000    
     552         10552  1    0.544235       0.000    
     553         10553  1     1.17716       0.000    
     554         10554  1     1.20163       0.000    
     555         10555  1     1.29396       0.000    
     556         10556  1    -1.36565       0.000    
     557         10557  1   -0.634550E-01   0.000    
     558         10558  1    0.818352       0.000    
     559         10559  1   -0.304628       0.000    
     560         10560  1     1.07109       0.000    
     561         10561  1    0.777828       0.000    
     562         10562  1    0.313440       0.000    
     563         10563  1    -1.54922       0.000    
     564         10564  1   -0.594554       0.000    
     565         10565  1    -1.44165       0.000    
     566         10566  1   -0.187683       0.000    
     567         10567  1    0.118658       0.000    
     568         10568  1   -0.323911       0.000    
     569         10569  1    0.977067       0.000    
     570         10570  1    0.363035       0.000    
     571         10571  1     2.83800       0.000    
     572         10572  1     1.70880       0.000    
     573         10573  1    0.132834       0.000    
     574         10574  1    0.167956       0.000    
     575         10575  1    -1.19079       0.000    
     576         10576  1    -1.55031       0.000    
     577         10577  1   -0.510705       0.000    
     578         10578  1    0.787350       0.000    
     579         10579  1    0.987355       0.000    
     580         10580  1    0.309009       0.000    
     581         10581  1    0.882087       0.000    
     582         10582  1   -0.340731       0.000    
     583         10583  1   -0.482817E-01   0.000    
     584         10584  1    0.119066       0.000    
     585         10585  1     1.18540       0.000    
     586         10586  1   -0.685306       0.000    
     587         10587  1    0.125507       0.000    
     588         10588  1   -0.308468       0.000    
     589         10589  1    0.838328       0.000    
     590         10590  1    -1.97136       0.000    
     591         10591  1   -0.654495       0.000    
     592         10592  1   -0.104519       0.000    
     593         10593  1    0.582890       0.000    
     594         10594  1     1.44119       0.000    
     595         10595  1    0.629098       0.000    
     596         10596  1    0.588451       0.000    
     597         10597  1   -0.311408       0.000    
     598         10598  1   -0.382958       0.000    
     599         10599  1    0.280836       0.000    
     600         10600  1     1.26815       0.000    
     601         10601  1    -1.13570       0.000    
     602         10602  1    -1.27473       0.000    
     603         10603  1   -0.550874       0.000    
     604         10604  1    -1.10942       0.000    
     605         10605  1   -0.505491       0.000    
     606         10606  1    -1.06196       0.000    
     607         10607  1    0.422541       0.000    
     608         10608  1    0.597062       0.000    
     609         10609  1   -0.181228       0.000    
     610         10610  1    0.167713       0.000    
     611         10611  1   -0.917193       0.000    
     612         10612  1   -0.894884       0.000    
     613         10613  1    -1.04069       0.000    
     614         10614  1   -0.302948       0.000    
     615         10615  1   -0.327102       0.000    
     616         10616  1   -0.272844       0.000    
     617         10617  1    -1.38987       0.000    
     618         10618  1     1.60859       0.000    
     619         10619  1   -0.151426       0.000    
     620         10620  1    0.132505       0.000    
     621         10621  1   -0.369822       0.000    
     622         10622  1   -0.257521       0.000    
     623         10623  1   -0.326119       0.000    
     624         10624  1   -0.300308       0.000    
     625         10625  1   -0.345129E-01   0.000    
     626         10626  1    -1.52766       0.000    
     627         10627  1   -0.580236       0.000    
     628         10628  1   -0.763296       0.000    
     629         10629  1   -0.320736       0.000    
     630         10630  1    0.333182       0.000    
     631         10631  1   -0.696923       0.000    
     632         10632  1    0.123933       0.000    
     633         10633  1    0.277391       0.000    
     634         10634  1   -0.278961       0.000    
     635         10635  1     1.83577       0.000    
     636         10636  1    0.759688       0.000    
     637         10637  1     1.03515       0.000    
     638         10638  1   -0.981501       0.000    
     639         10639  1    0.615020       0.000    
     640         10640  1     1.19283       0.000    
     641         10641  1    -1.06033       0.000    
     642         10642  1   -0.949662       0.000    
     643         10643  1   -0.583419       0.000    
     644         10644  1    0.130314       0.000    
     645         10645  1    0.730932E-01   0.000    
     646         10646  1     1.74950       0.000    
     647         10647  1     1.55725       0.000    
     648         10648  1     1.02462       0.000    
     649         10649  1   -0.235748E-01   0.000    
     650         10650  1   -0.238947       0.000    
     651         10651  1   -0.490627E-01   0.000    
     652         10652  1    0.782832       0.000    
     653         10653  1    0.457589       0.000    
     654         10654  1    0.326965       0.000    
     655         10655  1    0.150799       0.000    
     656         10656  1   -0.781528E-01   0.000    
     657         10657  1    0.781429E-01   0.000    
     658         10658  1   -0.611778       0.000    
     659         10659  1   -0.685909       0.000    
     660         10660  1   -0.913650       0.000    
     661         10661  1   -0.213419       0.000    
     662         10662  1   -0.315515       0.000    
     663         10663  1   -0.346011       0.000    
     664         10664  1   -0.425216       0.000    
     665         10665  1    0.374395       0.000    
     666         10666  1    0.698340       0.000    
     667         10667  1    0.861853       0.000    
     668         10668  1    0.176050       0.000    
     669         10669  1   -0.610659       0.000    
     670         10670  1    -1.34017       0.000    
     671         10671  1   -0.997985       0.000    
     672         10672  1    -1.33874       0.000    
     673         10673  1    -1.42421       0.000    
     674         10674  1   -0.320045       0.000    
     675         10675  1   -0.813869       0.000    
     676         10676  1     1.06027       0.000    
     677         10677  1    0.100154       0.000    
     678         10678  1     1.83338       0.000    
     679         10679  1   -0.260593       0.000    
     680         10680  1    -1.54532       0.000    
     681         10681  1   -0.991697       0.000    
     682         10682  1    -1.00217       0.000    
     683         10683  1   -0.534999       0.000    
     684         10684  1    -2.09078       0.000    
     685         10685  1    -1.50949       0.000    
     686         10686  1    -1.19967       0.000    
     687         10687  1    0.454916       0.000    
     688         10688  1    0.467420       0.000    
     689         10689  1    -1.78676       0.000    
     690         10690  1    0.756684       0.000    
     691         10691  1     1.30178       0.000    
     692         10692  1    0.358354E-01   0.000    
     693         10693  1   -0.302588       0.000    
     694         10694  1    0.254705E-02   0.000    
     695         10695  1   -0.264897       0.000    
     696         10696  1    0.174495       0.000    
     697         10697  1   -0.459041       0.000    
     698         10698  1    0.238801       0.000    
     699         10699  1    0.161565E-01   0.000    
     700         10700  1    0.205718       0.000    
     701         10701  1    0.999634       0.000    
     702         10702  1    0.387422       0.000    
     703         10703  1    0.101169       0.000    
     704         10704  1    0.530844       0.000    
     705         10705  1    -1.28775       0.000    
     706         10706  1   -0.254033       0.000    
     707         10707  1   -0.633985       0.000    
     708         10708  1    0.474814       0.000    
     709         10709  1   -0.646420       0.000    
     710         10710  1    0.212623       0.000    
     711         10711  1   -0.990054E-01   0.000    
     712         10712  1   -0.368094       0.000    
     713         10713  1    -1.55154       0.000    
     714         10714  1    -1.77508       0.000    
     715         10715  1    -1.51117       0.000    
     716         10716  1    -1.39227       0.000    
     717         10717  1   -0.795046E-01   0.000    
     718         10718  1    0.117839       0.000    
     719         10719  1    0.219981       0.000    
     720         10720  1    0.210232       0.000    
     721         10721  1    0.932831       0.000    
     722         10722  1   -0.587188       0.000    
     723         10723  1    0.579967       0.000    
     724         10724  1    0.336810       0.000    
     725         10725  1    0.828386E-01   0.000    
     726         10726  1   -0.606027E-02   0.000    
     727         10727  1     1.25900       0.000    
     728         10728  1   -0.611304E-01   0.000    
     729         10729  1   -0.150907       0.000    
     730         10730  1   -0.959595       0.000    
     731         10731  1    0.570931       0.000    
     732         10732  1   -0.582167       0.000    
     733         10733  1   -0.263063       0.000    
     734         10734  1    0.359156E-02   0.000    
     735         10735  1    0.170888       0.000    
     736         10736  1    0.194069       0.000    
     737         10737  1    0.543238       0.000    
     738         10738  1     1.23563       0.000    
     739         10739  1    0.631932       0.000    
